iter	RMSE
346	75495.17973
347	75363.4602
348	75299.6015
349	75229.20278
350	75127.15373
351	75063.84755
352	74993.84791
353	74889.71739
354	74797.54846
355	74721.54936
356	74625.04345
357	74542.79179
358	74445.46611
359	74412.35141
360	74323.64716
361	74249.38063
362	74172.8323
363	74087.04175
364	74007.67257
365	73920.83622
366	73800.13838
367	73796.50682
368	73693.77918
369	73629.43313
370	73550.86585
371	73483.99344
372	73424.79731
373	73324.33563
374	73232.3021
375	73111.57066
376	73053.34667
377	72981.21127
378	72924.36782
379	72830.68096
380	72766.2432
381	72659.32942
382	72588.1793
383	72507.44656
384	72467.06234
385	72391.04677
386	72281.03713
387	72277.64287
388	72242.00143
389	72152.8023
390	72039.41438
391	71976.69102
392	71909.26426
393	71850.62098
394	71790.84993
395	71726.13684
396	71638.41168
397	71607.82555
398	71503.69434
399	71382.75253
400	71379.49502
401	71294.45271
402	71260.16232
403	71257.01283
404	71163.48513
405	71085.58441
406	70994.29859
407	70893.31885
408	70805.31374
409	70736.62146
410	70733.68011
411	70634.03125
412	70562.57649
413	70468.78829
414	70385.34386
415	70372.0539
416	70306.76
417	70303.93679
418	70252.76729
419	70193.73261
420	70115.04207
421	70018.6669
422	69964.75165
423	69959.63274
424	69912.61933
425	69845.79293
426	69730.15568
427	69663.57313
428	69587.14785
429	69491.97948
430	69437.10657
431	69425.0446
432	69353.06266
433	69287.5765
434	69222.89255
435	69202.34269
436	69126.37277
437	69117.84893
438	69104.81542
439	69094.61341
440	69026.32469
441	69024.48704
442	68957.24823
443	68899.61185
444	68812.59223
445	68752.44427
446	68673.53161
447	68620.35992
448	68519.2354
449	68456.36456
450	68417.22191
451	68362.83889
452	68280.72267
453	68278.94954
454	68180.63981
455	68123.45673
456	68036.09759
457	67980.85676
458	67937.14076
459	67904.34548
460	67845.85386
461	67779.38646
462	67718.9493
463	67665.36754
464	67600.84216
465	67509.50357
466	67507.89488
467	67451.39951
468	67396.81936
469	67320.39499
470	67318.75806
471	67239.34297
472	67174.65768
473	67173.08045
474	67171.53961
475	67088.38783
476	67046.63112
477	66991.52601
478	66873.65123
479	66856.6156
480	66785.55047
481	66730.52886
482	66676.60275
483	66674.86669
484	66622.03577
485	66566.93131
486	66523.06593
487	66507.3314
488	66447.77076
489	66410.74989
490	66354.69392
491	66266.84091
492	66202.11196
493	66118.8712
494	66071.52892
495	66027.32267
496	65982.27348
497	65915.28328
498	65842.12498
499	65791.25434
500	65702.75087
501	65691.66861
502	65633.05538
503	65630.78357
504	65555.79984
505	65484.53122
506	65428.09078
507	65362.28817
508	65348.17247
509	65304.27759
510	65258.67202
511	65213.62944
512	65150.43616
513	65126.36856
514	65072.99778
515	65016.52006
516	64963.39698
517	64930.4465
518	64885.01777
519	64851.0486
520	64777.36872
521	64700.71467
522	64656.67819
523	64614.6662
524	64559.53337
525	64502.51197
526	64439.46659
527	64437.54295
528	64383.06991
529	64337.2991
530	64333.03285
531	64278.83463
532	64276.64151
533	64233.18113
534	64178.87784
535	64122.7652
536	64086.59704
537	64039.6824
538	63976.19096
539	63918.02011
540	63911.83651
541	63863.63646
542	63804.84102
543	63757.01931
544	63744.62227
545	63692.91521
546	63627.66822
547	63580.56404
548	63509.9668
549	63461.45606
550	63407.04938
551	63323.6378
552	63270.95544
553	63208.97766
554	63135.26487
555	63087.87749
556	63042.40341
557	63006.59217
558	62963.26064
559	62913.09259
560	62863.96791
561	62799.38563
562	62736.83136
563	62702.8892
564	62631.41581
565	62586.26659
566	62544.85774
567	62504.46058
568	62456.35859
569	62438.74636
570	62365.00322
571	62281.99525
572	62240.07843
573	62167.43069
574	62113.64961
575	62069.31505
576	62017.4919
577	61976.90213
578	61945.06227
579	61936.55998
580	61859.67781
581	61792.51029
582	61731.78587
583	61680.79725
584	61673.16214
585	61624.74612
586	61570.45279
587	61514.68665
588	61424.71744
589	61390.7445
590	61331.29398
591	61298.59681
592	61235.96961
593	61197.40152
594	61143.99172
595	61137.29671
596	61055.24488
597	60971.4928
598	60925.95135
599	60911.17731
600	60859.70326
601	60805.79371
602	60776.55513
603	60705.50385
604	60660.78463
605	60656.02148
606	60625.71233
607	60599.03437
608	60567.02965
609	60511.55357
610	60468.63865
611	60428.61753
612	60365.85833
613	60303.19993
614	60253.54806
615	60215.94397
616	60161.9438
617	60120.62541
618	60080.64072
619	60039.24338
620	59985.59729
621	59973.12084
622	59944.29733
623	59922.70647
624	59869.25774
625	59818.2466
626	59772.92999
627	59716.50799
628	59669.62653
629	59611.67424
630	59574.84396
631	59526.22081
632	59474.17953
633	59427.7021
634	59424.14005
635	59388.76932
636	59363.56501
637	59330.76731
638	59314.16029
639	59273.00967
640	59207.22007
641	59161.51304
642	59127.07474
643	59092.67472
644	59077.04699
645	59062.34872
646	59018.63558
647	58980.40219
648	58928.75086
649	58915.19766
650	58852.30969
651	58804.0328
652	58757.54239
653	58713.25458
654	58671.98934
655	58616.1504
656	58565.9041
657	58513.48374
658	58478.53388
659	58443.8276
660	58392.41024
661	58389.01918
662	58353.16308
663	58317.90625
664	58304.03569
665	58256.96632
666	58220.47747
667	58195.84017
668	58167.83371
669	58118.32633
670	58085.19592
671	58019.44783
672	57976.28056
673	57927.35367
674	57890.04151
675	57827.81332
676	57772.76731
677	57731.04535
678	57677.90136
679	57629.89392
680	57572.7834
681	57562.48409
682	57520.25776
683	57463.24853
684	57426.36536
685	57383.224
686	57351.93081
687	57312.63593
688	57271.75905
689	57236.33125
690	57178.88908
691	57137.04128
692	57112.51138
693	57068.30251
694	57034.78013
695	57027.31309
696	56998.27609
697	56930.41246
698	56900.70023
699	56866.08742
700	56795.45636
701	56758.68783
702	56717.21526
703	56679.92593
704	56637.89493
705	56590.07066
706	56555.614
707	56472.85345
708	56457.00034
709	56422.1525
710	56362.82311
711	56337.72308
712	56308.59943
713	56280.49157
714	56254.02121
715	56219.04475
716	56184.55786
717	56160.31344
718	56110.24915
719	56086.54163
720	56082.44376
721	56032.53338
722	55974.6745
723	55942.14657
724	55910.74948
725	55870.14132
726	55805.95353
727	55779.94525
728	55740.49818
729	55725.59284
730	55698.31802
731	55657.59471
732	55614.06361
733	55578.59707
734	55547.44088
735	55513.2392
736	55472.86501
737	55422.20404
738	55388.47895
739	55362.62769
740	55353.25273
741	55307.08075
742	55272.7542
743	55257.39065
744	55251.36469
745	55205.62273
746	55163.96189
747	55114.22973
748	55089.14715
749	55079.18512
750	55065.80092
751	55033.26456
752	54993.75178
753	54961.15493
754	54918.36973
755	54899.50988
756	54849.91333
757	54811.73745
758	54779.10576
759	54751.20548
760	54706.45337
761	54652.27043
762	54616.00095
763	54592.77866
764	54565.45602
765	54536.64685
766	54498.1313
767	54447.0698
768	54403.94378
769	54348.5351
770	54306.31821
771	54272.6206
772	54241.71155
773	54223.33785
774	54193.63231
775	54178.89013
776	54131.08068
777	54126.49145
778	54095.65791
779	54033.65268
780	53992.33772
781	53948.55997
782	53911.70382
783	53872.87411
784	53834.45518
785	53791.71412
786	53750.78796
787	53723.74636
788	53696.98058
789	53661.93546
790	53638.9205
791	53594.02525
792	53562.71026
793	53550.28739
794	53523.1966
795	53483.47648
796	53455.06185
797	53420.19359
798	53398.21738
799	53359.39002
800	53324.40257
801	53281.40138
802	53251.27094
803	53228.34329
804	53188.39117
805	53153.76126
806	53145.5862
807	53134.03449
808	53101.92216
809	53072.5347
810	53050.67783
811	53005.83514
812	52969.72962
813	52920.20897
814	52884.02113
815	52857.2185
816	52830.88045
817	52794.48551
818	52759.37944
819	52735.85757
820	52712.02323
821	52692.93138
822	52664.01575
823	52631.02511
824	52569.07312
825	52557.07157
826	52516.08155
827	52498.79501
828	52479.77297
829	52440.65125
830	52404.83988
831	52377.18114
832	52364.85601
833	52321.70271
834	52306.67753
835	52279.93976
836	52243.64928
837	52216.38369
838	52178.67695
839	52141.06041
840	52129.8236
841	52095.05908
842	52049.52382
843	52022.41833
844	52009.50424
845	51971.39559
846	51934.26197
847	51909.66273
848	51860.39172
849	51838.34014
850	51815.35895
851	51792.55961
852	51764.63711
853	51737.52369
854	51706.14192
855	51683.1216
856	51660.50965
857	51636.96428
858	51615.01633
859	51594.84404
860	51542.32378
861	51496.05828
862	51446.46047
863	51415.73156
864	51389.64369
865	51343.93098
866	51317.50651
867	51298.17041
868	51269.56329
869	51252.94409
870	51239.79341
871	51195.60316
872	51154.14257
873	51124.08172
874	51067.1422
875	51044.51421
876	51001.86187
877	50992.56876
878	50960.84051
879	50938.71208
880	50910.29827
881	50875.87719
882	50858.8314
883	50836.25028
884	50801.27391
885	50772.18172
886	50740.96152
887	50733.56844
888	50709.87135
889	50677.15793
890	50645.86215
891	50619.1323
892	50591.61378
893	50550.38781
894	50502.81291
895	50480.30837
896	50445.92061
897	50404.39337
898	50375.80128
899	50348.12391
900	50324.98977
901	50300.11265
902	50284.97276
903	50262.35546
904	50219.69202
905	50190.61878
906	50159.91323
907	50147.69745
908	50106.63689
909	50089.729
910	50062.80633
911	50027.77465
912	49987.62249
913	49958.39955
914	49934.27661
915	49907.10674
916	49890.17321
917	49889.64375
918	49852.85253
919	49827.0644
920	49793.848
921	49773.24637
922	49749.32345
923	49730.37857
924	49711.69097
925	49685.09674
926	49662.70483
927	49641.20679
928	49616.81114
929	49591.02927
930	49559.7799
931	49536.19677
932	49498.6286
933	49473.87803
934	49430.44341
935	49392.76915
936	49370.06515
937	49337.32411
938	49302.92467
939	49259.90537
940	49231.99446
941	49208.39473
942	49181.97453
943	49139.70273
944	49121.47882
945	49100.19925
946	49091.77681
947	49060.51256
948	49029.98004
949	49002.34527
950	48975.18328
951	48963.58191
952	48913.98437
953	48893.38364
954	48872.33867
955	48856.93208
956	48817.60667
957	48789.74169
958	48758.52508
959	48721.42718
960	48701.79327
961	48669.15147
962	48641.55634
963	48604.26713
964	48584.1901
965	48556.81314
966	48506.66987
967	48485.44101
968	48463.3079
969	48441.19572
970	48409.17088
971	48400.37208
972	48362.54304
973	48330.3012
974	48299.26941
975	48271.7245
976	48254.20512
977	48229.53543
978	48214.09786
979	48178.27701
980	48148.09889
981	48115.53355
982	48085.37633
983	48069.42787
984	48050.6132
985	48033.3014
986	48010.20257
987	47986.68798
988	47965.59111
989	47928.37505
990	47905.82206
991	47883.74898
992	47855.382
993	47819.74609
994	47795.53212
995	47755.92397
996	47736.64447
997	47715.62697
998	47706.34125
999	47676.22058
