url,property_id,address
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu58568,rbu58568,VIIde-Olympiadelaan 157 3 2020 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu50577,rbu50577,Collegelaan 53 7 2140 Borgerhout
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu56818,rbu56818,Heirmanstraat 5 101 V1 L 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu50521,rbu50521,Paradijsstraat 3 3.02 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu58545,rbu58545,Italiëlei 161 4 2000 Antwerp
https://immovlan.be/en/detail/penthouse/for-sale/2170/merksem/rbu55928,rbu55928,Heirmanstraat 5 301 2170 Merksem
https://immovlan.be/en/detail/studio/for-sale/2000/antwerp/rbu55740,rbu55740,Oude Koornmarkt 57 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu55927,rbu55927,Heirmanstraat 5 201 V2 L 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu56039,rbu56039,Julius De Geyterstraat 207 101 2020 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu55930,rbu55930,Lange Van Bloerstraat 8 201 2060 Antwerp
https://immovlan.be/en/detail/studio/for-sale/2000/antwerp/rbu55738,rbu55738,Oude Koornmarkt 57 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu55926,rbu55926,Heirmanstraat 5 102 V1 R 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu55929,rbu55929,Lange Van Bloerstraat 8 101 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu55645,rbu55645,Weerstandlaan 61 153 2660 Hoboken
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu55669,rbu55669,Kruishofstraat 142 V16E 2020 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu55953,rbu55953,Wouter Haecklaan 8 C 802 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu55452,rbu55452,Groenenborgerlaan 201 3 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu13087,rbu13087,Neptunusstraat 91 V1 2600 Berchem
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu48988,rbu48988,Provinciestraat 160 201 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu48987,rbu48987,Provinciestraat 160 101 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu56961,rbu56961,Kampioenstraat 8 201 2020 Antwerp
